id,position,stratum,family,format_valid,decision_correct,internally_consistent,full_correct,false_clear,false_report,strict_json,decision_valid,reason_correct,selected_exact,count_exact,eos_finished,order_assessable,requested_order_followed
rc-calibration-00143,182,clear,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00165,183,clear,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00037,184,trigger_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00098,185,control_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00040,186,trigger_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00044,187,trigger_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00146,188,clear,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00122,189,control_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00077,190,control_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00095,191,control_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
