endpoint,contrast,primary,n_cases,effect,ci_low,ci_high,seed_1729,seed_2718
clear_decision_accuracy,reweighting,True,128,0.033203125,0.017578125,0.05078125,0.015625,0.05078125
clear_decision_accuracy,decision_last,True,128,0.076171875,0.044921875,0.11328125,0.0390625,0.11328125
clear_decision_accuracy,interaction,False,128,-0.06640625,-0.1015625,-0.03515625,-0.03125,-0.1015625
complete_correctness,reweighting,True,384,0.009114583333333334,-0.001953125,0.020182291666666668,-0.0078125,0.026041666666666668
complete_correctness,decision_last,True,384,0.049479166666666664,0.033854166666666664,0.06575520833333333,0.036458333333333336,0.0625
complete_correctness,interaction,False,384,-0.018229166666666668,-0.0390625,0.0013020833333333333,0.005208333333333333,-0.041666666666666664
